brand_name,category,website,page_id
Represent,Men's Clothing,https://www.representclo.com,
Vinyl Me Please,E-Commerce,https://www.vinylmeplease.com,
Outdoor Voices,Sportswear,https://www.outdoorvoices.com,
Bandit Running,Sportswear,https://www.banditrunning.com,
Tracksmith,Sportswear,https://www.tracksmith.com,
Bombas,Apparel & Accessories,https://www.bombas.com,
Stance,Apparel & Accessories,https://www.stance.com,
Darn Tough,Apparel & Accessories,https://darntough.com,
Smartwool,Apparel & Accessories,https://www.smartwool.com,
Outerknown,Men's Clothing,https://www.outerknown.com,
Faherty,Men's Clothing,https://fahertybrand.com,
Vollebak,Men's Clothing,https://vollebak.com,
Western Rise,Men's Clothing,https://westernrise.com,
Olivers Apparel,Men's Clothing,https://oliversapparel.com,
Myles Apparel,Men's Clothing,https://mylesapparel.com,
Y Athletics,Men's Clothing,https://yathletics.com,
SAXX,Men's Clothing,https://www.saxxunderwear.com,
Tommy John,Men's Clothing,https://www.tommyjohn.com,
MeUndies,Apparel & Accessories,https://www.meundies.com,
Parade,Women's Clothing,https://www.yourparade.com,
Knix,Women's Clothing,https://knix.com,
Thinx,Women's Clothing,https://www.thinx.com,
Cuup,Women's Clothing,https://cuup.com,
Pepper,Women's Clothing,https://www.wearpepper.com,
Negative Underwear,Women's Clothing,https://www.negativeunderwear.com,
Lively,Women's Clothing,https://www.wearlively.com,
ThirdLove,Women's Clothing,https://www.thirdlove.com,
Savage X Fenty,Women's Clothing,https://www.savagex.com,
Adore Me,Women's Clothing,https://www.adoreme.com,
Girlfriend Collective,Sportswear,https://girlfriend.com,
Outdoor Research,Sportswear,https://www.outdoorresearch.com,
Cotopaxi,Apparel & Accessories,https://www.cotopaxi.com,
Rumpl,Home Improvement & Garden,https://www.rumpl.com,
Western Mountaineering,Travel & Hospitality,https://www.westernmountaineering.com,
REI,Apparel & Accessories,https://www.rei.com,
Backcountry,Apparel & Accessories,https://www.backcountry.com,
Huckberry,Apparel & Accessories,https://huckberry.com,
Taylor Stitch,Men's Clothing,https://www.taylorstitch.com,
Flint and Tinder,Men's Clothing,https://huckberry.com,
Proof,Men's Clothing,https://shopproof.co,
Bonobos,Men's Clothing,https://bonobos.com,
