brand_name,category,website,page_id
Lalo Furniture,Home Improvement & Garden,https://www.meetlalo.com,
West Elm,Home Improvement & Garden,https://www.westelm.com,
CB2,Home Improvement & Garden,https://www.cb2.com,
Castlery,Home Improvement & Garden,https://www.castlery.com,
Albany Park,Home Improvement & Garden,https://albanypark.com,
Sabai,Home Improvement & Garden,https://sabai.design,
Maiden Home,Home Improvement & Garden,https://www.maidenhome.com,
Interior Define,Home Improvement & Garden,https://www.interiordefine.com,
Joybird,Home Improvement & Garden,https://joybird.com,
Apt2B,Home Improvement & Garden,https://www.apt2b.com,
Medley,Home Improvement & Garden,https://medleyhome.com,
Inside Weather,Home Improvement & Garden,https://insideweather.com,
Benchmade Modern,Home Improvement & Garden,https://benchmademodern.com,
Cozey,Home Improvement & Garden,https://cozey.com,
Sundays Furniture,Home Improvement & Garden,https://www.sundayscompany.com,
Thuma,Home Improvement & Garden,https://www.thuma.co,
Avocado Bed,Home Improvement & Garden,https://www.avocadogreenmattress.com,
Saatva Frame,Home Improvement & Garden,https://www.saatva.com,
The Citizenry Home,Home Improvement & Garden,https://www.the-citizenry.com,
Pottery Barn,Home Improvement & Garden,https://www.potterybarn.com,
Crate & Barrel,Home Improvement & Garden,https://www.crateandbarrel.com,
Article Sofa,Home Improvement & Garden,https://www.article.com,
Lulu and Georgia Decor,Home Improvement & Garden,https://www.luluandgeorgia.com,
Rejuvenation,Home Improvement & Garden,https://www.rejuvenation.com,
Schoolhouse,Home Improvement & Garden,https://schoolhouse.com,
Hay,Home Improvement & Garden,https://us.hay.com,
Lumens,Home Improvement & Garden,https://www.lumens.com,
Gantri,Home Improvement & Garden,https://www.gantri.com,
Govee,Home Improvement & Garden,https://us.govee.com,
Nanoleaf,Home Improvement & Garden,https://nanoleaf.me,
Brilliant,Home Improvement & Garden,https://www.brilliant.tech,
Lutron,Home Improvement & Garden,https://www.lutron.com,
Philips Hue,Home Improvement & Garden,https://www.philips-hue.com,
Ring,Digital Devices,https://ring.com,
Wyze,Digital Devices,https://www.wyze.com,
Eufy,Digital Devices,https://www.eufy.com,
Arlo,Digital Devices,https://www.arlo.com,
SimpliSafe,Digital Devices,https://simplisafe.com,
Abode,Digital Devices,https://goabode.com,
Aqara,Digital Devices,https://www.aqara.com,
Ecobee,Home Improvement & Garden,https://www.ecobee.com,
Nest,Home Improvement & Garden,https://store.google.com,
Level,Home Improvement & Garden,https://level.co,
August,Home Improvement & Garden,https://august.com,
Lockly,Home Improvement & Garden,https://lockly.com,
Yale,Home Improvement & Garden,https://www.yalehome.com,
Roborock,Home Appliances,https://us.roborock.com,
Eufy Robovac,Home Appliances,https://www.eufy.com,
iRobot,Home Appliances,https://www.irobot.com,
Shark Robot,Home Appliances,https://www.sharkclean.com,
Tineco,Home Appliances,https://us.tineco.com,
Dreame,Home Appliances,https://www.dreametech.com,
Bissell Crosswave,Home Appliances,https://www.bissell.com,
Levoit,Heating Cooling & Air Quality,https://levoit.com,
Coway,Heating Cooling & Air Quality,https://cowaymega.com,
Molekule,Heating Cooling & Air Quality,https://molekule.com,
Dyson Air,Heating Cooling & Air Quality,https://www.dyson.com,
Blueair,Heating Cooling & Air Quality,https://www.blueair.com,
Canopy,Heating Cooling & Air Quality,https://getcanopy.co,
